,num_pts_dim0,num_pts_dim1,num_pts_dim2
234,550,306,136
235,550,237,39
236,550,228,91
237,550,345,89
238,550,269,105
239,550,469,251
240,550,770,536
241,550,139,31
242,550,165,103
243,550,235,38
244,550,420,171
245,550,302,153
246,550,295,63
247,550,278,90
248,550,415,147
249,550,326,82
250,550,196,63
251,550,199,27
252,550,153,53
253,550,341,81
254,550,514,213
255,550,326,89
256,550,471,180
257,550,319,116
258,550,72,1
259,550,504,113
260,550,602,346
261,550,136,9
262,550,448,138
263,550,69,31
264,550,367,109
265,550,476,165
266,550,134,13
267,550,351,111
268,550,51,0
269,550,407,127
270,550,120,3
271,550,214,99
272,550,172,52
273,550,115,4
274,550,225,76
275,550,75,14
276,550,487,254
277,550,330,91
278,550,320,59
279,550,402,155
280,550,275,66
281,550,262,115
282,550,200,90
283,550,200,45
284,550,72,3
285,550,69,27
286,550,249,21
287,550,74,15
288,550,228,63
289,550,144,9
290,550,386,55
291,550,190,18
292,550,197,59
293,550,425,210
294,550,170,46
295,550,411,173
296,550,292,100
297,550,346,93
298,550,293,55
299,550,105,2
300,550,275,40
301,550,477,302
302,550,96,8
303,550,395,71
304,550,154,25
305,550,64,81
306,550,330,95
307,550,276,39
308,550,186,46
309,550,264,169
310,550,391,132
311,550,223,48
312,550,400,226
313,550,165,22
314,550,676,374
315,550,234,89
316,550,334,100
317,550,137,17
318,550,304,222
319,550,409,204
320,550,248,75
321,550,487,253
322,550,388,308
323,550,242,165
324,550,159,10
325,550,200,51
326,550,290,103
327,550,410,86
328,550,128,64
329,550,148,9
330,550,368,171
331,550,259,43
332,550,453,300
333,550,269,55
334,550,412,160
335,550,289,142
336,550,221,76
337,550,370,59
338,550,195,97
339,550,198,163
340,550,413,180
341,550,154,16
342,550,188,5
343,550,542,231
344,550,237,41
345,550,257,33
346,550,77,1
347,550,304,66
348,550,112,30
349,550,602,300
350,550,336,182
351,550,667,377
352,550,139,90
353,550,286,84
354,550,328,59
355,550,503,226
356,550,122,35
357,550,326,467
358,550,171,103
359,550,167,131
360,550,543,324
361,550,320,42
362,550,148,12
363,550,422,147
364,550,145,63
365,550,74,30
366,550,317,188
367,550,120,61
368,550,205,67
369,550,267,60
370,550,385,119
371,550,197,84
372,550,553,90
373,550,270,23
374,550,669,309
375,550,498,259
376,550,589,517
377,550,343,263
378,550,656,263
379,550,447,109
380,550,526,156
381,550,248,37
382,550,283,45
383,550,422,352
384,550,113,19
385,550,213,71
386,550,272,73
387,550,148,21
388,550,200,42
389,550,283,83
390,550,503,216
391,550,476,251
392,550,508,145
393,550,216,12
394,550,189,20
395,550,453,150
396,550,273,32
397,550,327,45
398,550,106,47
399,550,150,50
400,550,349,109
401,550,542,220
402,550,459,91
403,550,506,210
404,550,359,89
405,550,361,75
406,550,245,54
407,550,609,252
408,550,82,1
409,550,463,280
410,550,452,283
411,550,772,438
412,550,387,186
413,550,221,30
414,550,406,123
415,550,300,40
416,550,48,4
417,550,638,245
418,550,283,168
419,550,128,19
420,550,339,63
421,550,44,0
422,550,144,74
423,550,515,231
424,550,525,191
425,550,549,423
426,550,297,117
427,550,487,389
428,550,241,51
429,550,300,81
430,550,179,11
431,550,268,43
432,550,266,97
433,550,195,23
434,550,328,35
435,550,111,21
436,550,238,66
437,550,399,102
438,550,192,62
439,550,316,152
440,550,142,24
441,550,157,52
442,550,402,178
443,550,144,35
444,550,462,177
445,550,427,29
446,550,583,368
447,550,228,68
448,550,215,176
449,550,244,97
450,550,138,113
451,550,127,0
452,550,406,162
453,550,465,149
454,550,219,17
455,550,340,90
456,550,450,182
457,550,347,365
458,550,251,23
459,550,131,123
460,550,209,98
461,550,152,5
462,550,167,24
463,550,369,67
464,550,229,163
465,550,465,347
466,550,319,197
467,550,52,19
468,550,287,4
469,550,187,80
470,550,205,75
471,550,113,20
472,550,202,58
473,550,190,38
474,550,263,77
475,550,208,95
476,550,341,200
477,550,387,83
478,550,409,70
479,550,321,207
480,550,297,81
481,550,125,10
482,550,186,10
483,550,470,361
484,550,240,61
485,550,127,8
486,550,345,99
487,550,485,163
488,550,340,95
489,550,564,219
490,550,208,60
491,550,465,360
492,550,319,77
493,550,450,172
494,550,401,271
495,550,252,45
496,550,382,86
497,550,265,15
498,550,179,27
499,550,449,206
500,550,321,105
501,550,407,234
502,550,361,95
503,550,192,40
504,550,214,28
505,550,498,205
506,550,358,102
507,550,780,493
508,550,427,109
509,550,178,90
510,550,330,124
511,550,108,38
512,550,305,101
513,550,276,56
514,550,486,279
515,550,211,97
516,550,42,5
517,550,442,195
518,550,193,49
519,550,591,347
520,550,573,334
521,550,112,37
522,550,217,90
523,550,511,199
524,550,307,38
525,550,157,21
526,550,97,17
527,550,246,288
528,550,353,80
529,550,171,42
530,550,390,190
531,550,421,165
532,550,230,315
533,550,202,17
534,550,375,254
535,550,146,8
536,550,62,45
537,550,560,346
538,550,415,189
539,550,259,82
540,550,359,206
541,550,608,501
542,550,172,46
543,550,377,100
544,550,525,314
545,550,503,302
546,550,338,114
547,550,468,179
548,550,518,618
549,550,326,28
550,550,460,298
551,550,144,24
552,550,221,180
553,550,374,270
554,550,147,26
555,550,379,120
556,550,115,18
557,550,647,421
558,550,508,194
559,550,259,43
560,550,697,420
561,550,344,46
562,550,479,684
563,550,250,47
564,550,372,121
565,550,302,35
566,550,293,143
567,550,315,84
568,550,508,176
569,550,367,160
570,550,85,2
571,550,171,121
572,550,237,43
573,550,376,170
574,550,124,70
575,550,200,73
576,550,448,262
577,550,325,86
578,550,254,84
579,550,20,4
580,550,261,62
581,550,355,55
582,550,60,3
583,550,337,176
584,550,335,236
585,550,709,473
586,550,444,156
587,550,314,301
588,550,224,181
589,550,343,79
590,550,135,203
591,550,511,202
592,550,357,219
593,550,197,21
594,550,149,60
595,550,217,196
596,550,436,109
597,550,411,359
598,550,198,32
599,550,153,13
600,550,245,36
601,550,434,262
602,550,578,332
603,550,249,45
604,550,337,155
605,550,225,23
606,550,255,61
607,550,108,4
608,550,323,42
609,550,183,64
610,550,99,7
611,550,664,343
612,550,465,395
613,550,382,304
614,550,329,161
615,550,435,339
616,550,258,79
617,550,170,32
618,550,178,149
619,550,330,114
620,550,381,189
621,550,204,94
622,550,328,100
623,550,103,6
624,550,85,1
625,550,297,62
626,550,399,174
627,550,97,3
628,550,198,11
629,550,243,76
630,550,528,491
631,550,460,283
632,550,245,47
633,550,300,203
634,550,132,11
635,550,162,33
636,550,365,73
637,550,427,105
638,550,184,10
639,550,406,162
640,550,69,41
641,550,295,138
642,550,134,19
643,550,743,439
644,550,529,315
645,550,333,94
646,550,279,209
647,550,255,80
648,550,519,317
649,550,127,6
650,550,217,79
651,550,408,149
652,550,526,244
653,550,227,204
654,550,116,16
655,550,203,121
656,550,331,102
657,550,491,127
658,550,539,218
659,550,501,166
660,550,563,312
661,550,233,155
662,550,595,324
663,550,423,124
664,550,351,200
665,550,489,131
666,550,454,154
667,550,451,256
668,550,363,122
669,550,309,121
670,550,127,13
671,550,553,329
672,550,649,489
673,550,702,422
674,550,548,279
675,550,194,28
676,550,287,138
677,550,510,248
678,550,235,106
679,550,251,47
680,550,114,12
681,550,494,280
682,550,244,48
683,550,48,17
684,550,482,295
685,550,232,64
686,550,468,164
687,550,202,51
688,550,205,20
689,550,428,212
690,550,547,96
691,550,188,46
692,550,471,318
693,550,123,7
694,550,94,77
695,550,428,109
696,550,99,27
697,550,138,0
698,550,180,48
699,550,306,331
700,550,360,129
701,550,309,50
702,550,209,39
703,550,465,278
704,550,214,55
705,550,222,56
706,550,423,132
707,550,656,395
708,550,337,125
709,550,147,37
710,550,232,47
711,550,394,168
712,550,412,62
713,550,284,98
714,550,97,8
715,550,279,81
716,550,79,4
717,550,293,67
718,550,146,42
719,550,380,255
720,550,249,133
721,550,222,48
722,550,618,172
723,550,208,30
724,550,206,4
725,550,379,230
726,550,442,168
727,550,68,12
728,550,488,146
729,550,331,347
730,550,435,99
731,550,463,209
732,550,312,113
733,550,286,88
734,550,64,23
735,550,559,434
736,550,302,199
737,550,245,115
738,550,212,77
739,550,381,152
740,550,262,63
741,550,257,54
742,550,253,160
743,550,160,16
744,550,565,343
745,550,216,35
746,550,534,142
747,550,276,85
748,550,144,30
749,550,472,150
750,550,591,434
751,550,213,144
752,550,319,58
753,550,142,11
754,550,185,35
755,550,604,491
756,550,60,30
757,550,288,50
758,550,288,91
759,550,596,313
760,550,110,8
761,550,420,88
762,550,173,178
763,550,280,144
764,550,224,85
765,550,121,28
766,550,324,150
767,550,80,7
768,550,304,55
769,550,267,105
770,550,702,579
771,550,369,91
772,550,374,194
773,550,221,258
774,550,505,268
775,550,437,155
776,550,92,1
777,550,197,34
778,550,134,53
779,550,467,330
780,550,274,77
781,550,235,62
782,550,235,77
783,550,61,41
784,550,522,264
785,550,318,91
786,550,531,333
787,550,239,35
788,550,280,60
789,550,151,39
790,550,159,36
791,550,253,106
792,550,176,61
793,550,503,336
794,550,177,6
795,550,572,245
796,550,246,139
797,550,224,94
798,550,479,327
799,550,299,163
800,550,202,74
801,550,237,106
802,550,238,27
803,550,439,181
804,550,483,147
805,550,197,51
806,550,259,48
807,550,244,30
808,550,320,26
809,550,126,18
810,550,332,145
811,550,255,63
812,550,501,233
813,550,693,375
814,550,292,139
815,550,449,350
816,550,229,289
817,550,193,97
818,550,704,413
819,550,552,266
820,550,450,240
821,550,98,22
822,550,383,118
823,550,120,45
824,550,367,142
825,550,86,25
826,550,352,191
827,550,483,341
828,550,411,106
829,550,191,120
830,550,536,289
831,550,88,3
832,550,398,212
833,550,422,158
834,550,198,62
835,550,29,1
836,550,408,195
837,550,651,417
838,550,215,157
839,550,402,251
840,550,285,97
841,550,503,125
842,550,499,161
843,550,108,16
844,550,23,0
845,550,184,68
846,550,98,118
847,550,219,197
848,550,73,7
849,550,106,18
850,550,546,247
851,550,203,96
852,550,184,22
853,550,575,257
854,550,246,150
855,550,119,3
856,550,233,110
857,550,206,35
858,550,22,24
859,550,171,8
860,550,645,416
861,550,229,107
862,550,242,157
863,550,97,13
864,550,450,192
865,550,192,28
866,550,226,103
867,550,162,40
868,550,109,2
869,550,213,110
870,550,323,150
871,550,296,259
872,550,257,69
873,550,268,108
874,550,154,102
875,550,356,80
876,550,529,217
877,550,472,156
878,550,154,19
879,550,250,87
880,550,383,96
881,550,279,83
882,550,244,115
883,550,403,179
884,550,472,304
885,550,781,415
886,550,485,267
887,550,196,43
888,550,391,177
889,550,347,68
890,550,308,201
891,550,321,173
892,550,234,46
893,550,539,293
894,524,415,229
895,550,106,11
896,550,407,79
897,550,352,226
898,550,161,35
899,550,295,77
900,550,435,59
901,550,462,201
902,550,197,51
903,550,223,7
904,550,190,17
905,550,102,5
906,550,322,151
907,550,84,5
908,550,239,68
909,550,303,113
910,550,264,32
911,550,94,29
912,550,478,179
913,550,300,29
914,550,157,3
915,550,603,381
916,550,145,22
917,550,98,7
918,550,40,2
919,550,534,414
920,550,137,32
921,550,469,337
922,550,63,12
923,550,383,50
924,550,521,538
925,550,314,65
926,550,313,121
927,550,103,23
928,550,336,374
929,550,240,43
930,550,149,10
931,550,369,162
932,550,344,52
933,550,515,356
934,550,289,32
935,550,214,34
936,550,371,163
937,550,225,22
938,550,357,93
939,550,232,56
940,550,360,120
941,550,168,29
942,550,146,35
943,550,103,17
944,550,220,42
945,550,541,421
946,550,212,81
947,550,232,115
948,550,524,142
949,550,52,0
950,550,160,66
951,550,331,121
952,550,290,72
953,550,638,364
954,550,253,67
955,550,294,80
956,550,601,165
957,550,273,72
958,550,597,277
959,550,393,140
960,550,132,16
961,550,388,178
962,550,110,48
963,550,258,72
964,550,607,447
965,550,380,82
966,550,314,60
967,550,272,103
968,550,576,389
969,550,397,135
970,550,214,39
971,550,203,37
972,550,334,176
973,550,472,266
974,550,84,17
975,550,297,41
976,550,170,32
977,550,160,17
978,550,417,72
979,550,84,4
980,550,276,178
981,550,321,75
982,550,371,112
983,550,285,172
984,512,181,8
985,550,538,322
986,550,350,246
987,550,242,72
988,550,506,180
989,550,416,67
990,550,343,173
991,550,246,33
992,550,262,245
993,550,337,73
994,550,155,17
995,550,433,99
996,550,227,98
997,550,302,145
998,550,296,61
999,550,365,281
1000,550,229,73
1001,550,498,229
1002,550,170,75
1003,550,43,9
1004,550,721,511
1005,550,234,44
1006,550,649,442
1007,550,487,217
1008,550,108,27
1009,550,390,245
1010,550,167,92
1011,550,268,147
1012,550,131,83
1013,550,264,161
1014,550,159,27
1015,550,35,9
1016,550,214,55
1017,550,260,46
1018,550,287,82
1019,550,244,66
1020,550,345,102
1021,550,420,222
1022,550,240,54
1023,550,112,18
1024,550,437,210
1025,550,311,92
1026,550,295,192
1027,550,323,81
1028,550,417,175
1029,550,380,139
1030,550,201,49
1031,550,257,25
1032,550,560,413
1033,550,244,111
1034,550,458,197
1035,550,446,165
1036,550,171,15
1037,550,228,95
1038,550,160,63
1039,550,606,361
1040,550,363,245
1041,550,236,27
1042,550,362,80
1043,550,415,192
1044,550,387,88
1045,550,387,43
1046,550,109,25
1047,550,458,432
1048,550,400,100
1049,531,269,101
1050,550,220,78
1051,550,152,21
1052,550,410,167
1053,550,315,75
1054,550,504,155
1055,550,480,169
1056,550,253,122
1057,550,244,135
1058,550,37,2
1059,550,433,264
1060,550,97,45
1061,550,169,55
1062,550,195,103
1063,550,356,33
1064,550,377,126
1065,550,354,89
1066,550,492,207
1067,550,335,80
1068,550,143,20
1069,550,495,249
1070,550,354,99
1071,550,253,60
1072,550,362,127
1073,550,112,7
1074,550,342,55
1075,550,639,401
1076,550,247,74
1077,550,417,75
1078,550,376,271
1079,550,429,161
1080,550,399,274
1081,550,189,5
1082,550,177,1
1083,550,152,61
1084,550,267,55
1085,550,111,27
1086,550,178,75
1087,550,487,264
1088,550,183,47
1089,550,522,249
1090,550,426,291
1091,550,414,124
1092,550,386,146
1093,550,825,713
1094,550,581,231
1095,550,137,56
1096,550,383,178
1097,550,173,33
1098,550,555,268
1099,550,150,3
1100,550,422,182
1101,550,543,93
1102,550,576,286
1103,550,366,355
1104,550,288,47
1105,550,446,194
1106,550,398,145
1107,550,733,572
1108,550,138,48
1109,550,358,143
1110,550,296,36
1111,550,87,48
1112,550,472,460
1113,550,304,99
1114,550,308,108
1115,550,271,71
1116,550,744,844
1117,550,488,179
1118,550,115,62
1119,550,252,88
1120,550,215,8
1121,550,312,130
1122,550,460,157
1123,550,204,151
1124,550,235,8
1125,550,130,38
1126,550,312,181
1127,550,474,179
1128,550,322,104
1129,550,467,215
1130,550,238,20
1131,550,307,68
1132,550,268,49
1133,550,434,106
1134,550,182,26
1135,550,202,133
1136,550,239,38
1137,550,58,13
1138,550,443,166
1139,550,249,103
1140,550,238,174
1141,550,691,493
1142,550,48,15
1143,550,379,78
1144,550,460,190
1145,550,448,187
1146,550,413,274
1147,550,526,294
1148,550,385,38
1149,550,416,84
1150,550,519,303
1151,550,113,16
1152,550,412,166
1153,550,315,200
1154,550,231,25
1155,550,428,119
1156,550,223,86
1157,550,288,99
1158,550,387,149
1159,550,364,258
1160,550,235,36
1161,550,384,212
1162,550,406,79
1163,550,315,97
1164,550,194,44
1165,550,382,246
1166,550,174,39
1167,550,145,11
1168,550,247,60
1169,550,287,49
1170,550,143,24
1171,550,463,204
1172,550,104,72
1173,550,294,94
1174,550,383,263
1175,550,168,13
1176,550,166,57
1177,550,443,302
1178,550,358,73
1179,550,340,138
1180,550,264,162
1181,550,104,32
1182,550,218,52
1183,550,305,32
1184,550,98,23
1185,550,285,81
1186,550,173,21
1187,550,213,71
1188,550,362,191
1189,550,344,179
1190,550,285,83
1191,550,164,27
1192,550,725,628
1193,550,605,296
1194,550,307,101
1195,550,303,114
1196,550,216,94
1197,550,588,275
1198,550,544,256
1199,550,152,52
1200,550,138,41
1201,550,235,60
1202,550,286,58
1203,550,427,224
1204,550,282,97
1205,550,134,63
1206,550,687,491
1207,550,371,107
1208,550,422,138
1209,550,177,28
1210,550,505,165
1211,550,329,154
1212,550,328,45
1213,550,516,227
1214,550,216,207
1215,550,367,94
1216,550,214,71
1217,550,550,235
1218,550,67,4
1219,550,108,12
1220,550,178,31
1221,550,226,39
1222,550,170,87
1223,550,70,3
1224,550,474,181
1225,550,126,32
1226,550,376,247
1227,550,107,31
1228,550,129,51
1229,550,430,110
1230,550,429,145
1231,550,522,247
1232,550,115,143
1233,550,144,45
1234,550,340,116
1235,550,414,107
1236,550,357,86
1237,550,325,50
1238,550,125,15
1239,550,139,37
1240,550,172,40
1241,550,509,242
1242,550,418,164
1243,550,264,39
1244,550,534,345
1245,550,265,106
1246,550,448,221
1247,550,74,32
1248,550,433,157
1249,550,436,225
1250,550,256,33
1251,550,163,14
1252,550,537,376
1253,550,330,93
1254,550,127,37
1255,550,460,210
1256,550,412,101
1257,550,725,369
1258,550,456,592
1259,550,439,182
1260,550,541,202
1261,550,246,230
1262,550,98,18
1263,550,281,101
1264,550,106,87
1265,550,360,136
1266,550,258,16
1267,550,178,42
1268,550,453,287
1269,550,557,233
1270,550,357,56
1271,550,232,34
1272,550,371,74
1273,550,262,55
1274,550,384,107
1275,550,244,48
1276,550,289,106
1277,550,498,181
1278,550,238,82
1279,550,476,252
1280,550,517,159
1281,550,205,50
1282,550,361,97
1283,550,477,117
1284,550,355,108
1285,550,246,49
1286,550,634,416
1287,550,697,245
1288,550,61,1
1289,550,109,20
1290,550,646,296
1291,550,269,99
1292,550,411,180
1293,550,552,220
1294,550,598,332
1295,550,382,7
1296,550,178,87
1297,550,98,13
1298,550,483,162
1299,550,450,75
1300,550,449,144
1301,550,385,84
1302,550,146,35
1303,550,328,164
1304,550,236,161
1305,550,476,212
1306,550,502,83
1307,550,220,49
1308,550,190,88
1309,550,455,197
1310,550,587,181
1311,550,355,304
1312,550,417,273
1313,550,227,80
1314,550,83,7
1315,550,505,565
1316,550,306,47
1317,550,300,101
1318,550,436,148
1319,550,262,70
1320,550,129,21
1321,550,441,200
1322,550,520,218
1323,550,561,267
1324,550,164,61
1325,550,168,64
1326,550,488,277
1327,550,691,473
1328,550,388,118
1329,550,113,18
1330,550,345,129
1331,550,176,23
1332,550,369,96
1333,550,674,655
1334,550,545,214
1335,550,338,102
1336,550,201,163
1337,550,233,70
1338,550,300,98
1339,550,116,8
1340,550,212,40
1341,550,341,126
1342,550,165,42
1343,550,352,260
1344,550,230,129
1345,550,184,23
1346,550,243,37
1347,550,315,154
1348,550,222,15
1349,550,194,24
1350,550,445,165
1351,550,431,259
1352,550,242,44
1353,550,294,36
1354,550,424,108
1355,550,390,159
1356,550,494,177
1357,550,715,568
1358,550,446,247
1359,550,509,279
1360,550,552,233
1361,550,191,25
1362,550,209,139
1363,550,883,687
1364,510,314,87
1365,550,211,81
1366,550,270,75
1367,550,324,60
1368,550,149,78
1369,550,175,44
1370,550,416,352
1371,550,415,272
1372,550,177,25
1373,550,427,189
1374,550,208,71
1375,550,87,4
1376,550,366,134
1377,550,301,61
1378,550,287,137
1379,550,390,113
1380,550,240,132
1381,550,485,182
1382,550,618,361
1383,550,520,262
1384,550,261,213
1385,550,223,37
1386,550,567,397
1387,550,550,221
1388,550,402,70
1389,550,431,149
1390,550,325,304
1391,550,422,189
1392,550,348,205
1393,550,326,67
1394,550,323,69
1395,550,413,150
1396,550,445,212
1397,550,366,83
1398,550,232,61
1399,550,98,59
1400,550,206,79
1401,550,334,104
1402,550,589,286
1403,550,460,314
1404,550,94,3
1405,550,519,344
1406,550,538,216
1407,550,219,20
1408,550,252,56
1409,550,114,3
1410,550,613,349
1411,550,259,65
1412,550,352,100
1413,550,189,78
1414,550,226,67
1415,550,250,63
1416,550,126,34
1417,550,419,150
1418,550,159,45
1419,550,156,22
1420,550,361,183
1421,550,93,20
1422,550,77,9
1423,550,187,50
1424,550,279,19
1425,550,277,124
1426,550,236,40
1427,550,217,70
1428,550,227,101
1429,550,356,69
1430,550,132,20
1431,550,299,139
1432,550,182,71
1433,550,470,274
1434,550,302,117
1435,550,303,44
1436,550,296,94
1437,550,347,156
1438,550,416,98
1439,550,403,131
1440,550,154,23
1441,550,716,462
1442,550,437,319
1443,550,203,47
1444,550,191,71
1445,550,464,337
1446,550,185,8
1447,550,314,98
1448,550,503,167
1449,550,505,272
1450,550,273,91
1451,550,382,116
1452,550,191,10
1453,550,419,129
1454,550,182,24
1455,550,379,125
1456,550,297,102
1457,550,294,23
1458,550,307,55
1459,550,257,76
1460,550,233,100
1461,550,207,56
1462,550,232,130
1463,550,387,359
1464,550,150,89
1465,550,159,47
1466,550,269,70
1467,550,473,265
1468,550,331,155
1469,550,273,103
1470,550,551,299
1471,550,227,114
1472,550,360,120
1473,550,389,65
1474,550,176,279
1475,550,173,27
1476,550,137,14
1477,550,480,226
1478,550,536,354
1479,550,87,7
1480,550,158,58
1481,550,360,80
1482,550,480,280
1483,550,179,51
1484,550,379,99
1485,550,208,108
1486,550,179,48
1487,550,298,72
1488,550,393,129
1489,550,541,232
1490,550,366,160
1491,550,216,41
1492,550,360,137
1493,550,281,186
1494,550,441,266
1495,550,570,351
1496,550,456,246
1497,550,317,143
1498,550,146,6
1499,550,272,113
1500,550,461,254
1501,550,481,149
1502,550,603,368
1503,550,290,52
1504,550,187,132
1505,550,473,75
1506,550,303,41
1507,550,159,25
1508,550,543,355
1509,550,302,61
1510,550,549,180
1511,550,263,96
1512,550,478,466
1513,550,345,151
1514,550,227,86
1515,550,478,300
1516,550,561,221
1517,550,149,21
1518,550,65,5
1519,550,179,75
1520,550,431,95
1521,550,330,47
1522,550,419,292
1523,550,243,55
1524,550,352,181
1525,550,87,22
1526,550,474,159
1527,550,255,48
1528,550,298,111
1529,550,152,21
1530,550,143,32
1531,550,155,66
1532,550,198,72
1533,550,282,34
1534,550,234,48
1535,550,186,70
1536,550,234,27
1537,550,682,400
1538,550,362,171
1539,550,375,162
1540,550,366,175
1541,550,454,252
1542,550,137,74
1543,550,586,1459
1544,550,356,94
1545,550,528,237
1546,550,364,169
1547,550,142,31
1548,550,579,338
1549,550,445,189
1550,550,337,96
1551,550,247,223
1552,550,348,56
1553,550,427,144
1554,550,346,177
1555,550,151,103
1556,550,567,361
1557,550,226,67
1558,550,342,132
1559,550,280,176
1560,550,216,66
1561,550,222,40
1562,550,312,115
1563,550,366,71
1564,550,278,75
1565,550,602,295
1566,550,192,49
1567,550,631,334
1568,550,364,79
1569,550,161,38
1570,550,234,22
1571,550,163,39
1572,550,216,17
1573,550,47,15
1574,550,434,104
1575,550,544,331
1576,550,296,93
1577,550,185,33
1578,550,523,252
1579,550,172,35
1580,550,226,43
1581,550,463,98
1582,550,321,76
1583,550,197,30
1584,550,353,125
1585,550,241,15
1586,550,96,11
1587,550,173,16
1588,550,282,141
1589,550,426,172
1590,550,267,85
1591,550,291,61
1592,550,345,118
1593,550,446,181
1594,550,357,99
1595,550,246,78
1596,550,485,263
1597,550,310,33
1598,550,204,25
1599,550,220,60
1600,550,172,143
1601,550,349,184
1602,550,208,22
1603,550,592,384
1604,550,245,44
1605,550,512,255
1606,550,321,94
1607,550,482,285
1608,550,54,3
1609,550,334,97
1610,550,439,328
1611,550,388,190
1612,550,265,131
1613,550,694,603
1614,550,267,105
1615,550,594,248
1616,550,152,49
1617,550,311,144
1618,550,317,142
1619,550,46,3
1620,550,166,13
1621,550,258,69
1622,550,315,101
1623,550,396,124
1624,550,405,264
1625,550,595,228
1626,550,584,535
1627,550,135,22
1628,550,419,46
1629,550,441,143
1630,550,291,79
1631,550,412,144
1632,550,347,114
1633,550,420,54
1634,550,183,107
1635,550,285,55
1636,550,310,82
1637,550,317,32
1638,550,242,106
1639,550,482,148
1640,550,232,30
1641,550,176,51
1642,550,374,64
1643,550,427,158
1644,550,182,33
1645,550,384,173
1646,550,187,128
1647,550,307,72
1648,550,283,46
1649,550,181,6
1650,550,154,46
1651,550,127,24
1652,550,278,142
1653,550,440,137
1654,550,273,90
1655,550,272,125
1656,550,370,79
1657,550,372,149
1658,550,113,10
1659,550,364,100
1660,550,218,34
