"","V1","V2","V3"
"350",8,1,5
"351",1,1,1
"352",29,1,2
"353",2,1,2
"354",13,1,1
"355",7,1,2
"356",24,1,1
"357",2,1,1
"358",2,1,1
"359",1,1,6
"360",45,1,1
"361",26,1,1
"362",3,1,1
"363",20,1,2
"364",16,1,1
"365",1,1,1
"366",3,1,1
"367",18,1,1
"368",10,1,1
"369",37,1,1
"370",4,1,1
"371",6,1,1
"372",14,1,2
"373",19,1,2
"374",12,2,2
"375",3,1,2
"376",11,1,1
"377",7,6,1
"378",1,1,1
"379",28,1,1
"380",7,1,2
"381",5,2,2
"382",1,1,2
"383",7,1,1
"384",6,1,1
"385",8,1,2
"386",30,10,1
"387",1,1,6
"388",4,1,6
"389",12,1,1
"390",3,1,1
"391",5,1,1
"392",8,1,1
"393",2,2,1
"394",8,1,1
"395",1,1,1
"396",6,1,2
"397",10,1,1
"398",8,1,1
"399",9,1,1
"400",6,1,1
"401",17,1,1
"402",7,1,1
"403",3,1,1
"404",4,1,2
"405",6,1,1
"406",4,1,1
"407",27,1,1
"408",2,1,1
"409",41,1,2
"410",16,1,1
"411",12,1,3
"412",4,2,1
"413",9,1,1
"414",45,1,7
"415",35,1,2
"416",47,1,1
"417",19,1,1
"418",8,1,2
"419",6,1,1
"420",3,1,2
"421",46,1,1
"422",35,2,1
"423",8,1,1
"424",5,1,1
"425",33,1,2
"426",1,4,1
"427",7,3,1
"428",10,6,1
"429",1,1,1
"430",2,1,1
"431",14,1,1
"432",46,1,1
"433",1,1,2
"434",1,1,1
"435",27,1,1
"436",10,4,4
"437",6,1,2
"438",4,1,1
"439",4,1,1
"440",2,1,2
"441",8,1,1
"442",5,1,1
"443",11,2,1
"444",1,1,2
"445",20,1,1
"446",11,2,1
"447",22,1,1
"448",2,1,2
"449",1,1,1
"450",17,1,1
"451",5,1,3
"452",2,1,1
"453",19,1,3
"454",18,1,1
"455",4,1,1
"456",18,2,1
"457",18,1,2
"458",1,1,1
"459",20,1,2
"460",4,1,2
"461",19,1,2
"462",14,1,1
"463",1,1,1
"464",10,1,2
"465",35,1,2
"466",3,1,2
"467",10,1,1
"468",16,1,1
"469",1,1,1
"470",12,1,1
"471",9,1,2
"472",12,1,1
"473",21,1,3
"474",14,1,1
"475",14,1,2
"476",27,1,1
"477",1,1,1
"478",6,1,1
"479",4,1,1
"480",2,1,2
"481",2,1,1
"482",8,1,1
"483",20,2,1
"484",28,1,2
"485",13,1,2
"486",4,1,2
"487",3,1,1
"488",31,1,2
"489",24,1,1
"490",6,1,1
"491",37,1,2
"492",33,1,1
"493",12,2,1
"494",9,1,2
"495",5,1,1
"496",1,4,2
"497",23,1,1
"498",3,2,1
"499",27,1,1
"500",3,1,1
"501",1,1,1
"502",25,1,1
"503",44,1,1
"504",27,1,1
"505",46,1,2
"506",22,1,1
"507",8,1,1
"508",43,1,2
"509",7,1,1
"510",1,1,1
"511",2,1,1
"512",2,1,1
"513",39,1,1
"514",9,1,2
"515",21,1,1
"516",20,1,1
"517",5,1,1
"518",30,1,1
"519",2,1,1
"520",1,1,1
"521",1,1,2
"522",12,1,2
"523",24,1,1
"524",3,1,1
"525",20,1,1
"526",18,1,1
"527",2,1,1
"528",2,1,4
"529",5,1,1
"530",19,1,1
"531",1,2,1
"532",3,1,3
"533",11,5,2
"534",9,1,2
"535",10,1,2
"536",13,1,2
"537",9,1,1
"538",44,1,1
"539",22,1,1
"540",2,1,1
"541",28,1,2
"542",24,1,1
"543",7,1,1
"544",5,1,1
"545",21,1,1
"546",42,1,1
"547",1,1,2
"548",43,1,3
"549",3,1,1
"550",1,1,1
"551",13,1,1
"552",28,1,1
"553",9,2,1
"554",3,1,1
"555",15,1,1
"556",4,1,1
"557",25,1,1
"558",20,1,1
"559",5,1,1
"560",1,1,4
"561",14,1,1
"562",12,1,2
"563",31,1,1
"564",20,1,4
"565",4,1,1
"566",1,1,1
"567",14,1,2
"568",8,1,1
"569",10,1,3
"570",56,1,1
"571",24,1,1
"572",38,1,1
"573",14,1,1
"574",15,1,1
"575",21,1,1
"576",4,1,1
"577",13,1,2
"578",1,1,1
"579",27,1,1
"580",1,1,1
"581",17,1,1
"582",18,5,1
"583",17,1,1
"584",36,1,1
"585",27,1,5
"586",1,1,2
"587",7,1,1
"588",40,1,4
"589",1,1,1
"590",17,2,2
"591",12,1,1
"592",1,2,1
"593",1,1,2
"594",1,1,2
"595",7,1,1
"596",16,1,1
"597",40,1,1
"598",5,1,2
"599",6,1,1
"600",2,1,1
